brand_name,title,price,price_discount,link,images
SRICHAND,Translucent Compact Powder,฿350,฿175,/product/detail/translucent-compact-powder?product_id=8858696804509&sku_id=8858696804509,https://prodenbcdn.azureedge.net/products/8858696804509/main/320/61e7d02c8f3d8df450c0f3f5.webp
4U2,My Skin Youth Mineral Powder Spf22 Pa+++,฿199,฿99,/product/detail/my-skin-youth-mineral-powder-spf22-pa---?product_id=8859575104215&sku_id=8859575104215,https://prodenbcdn.azureedge.net/products/8859575104215/main/320/6098d5a89e3bd262b60c6099.webp
BOBBI BROWN,Sheer Fnish Pressed Powder (Limited),"฿1,850","฿1,665",/product/detail/sheer-fnish-pressed-powder--limited-?product_id=716170255781&sku_id=716170255781,https://prodenbcdn.azureedge.net/products/716170255781/main/320/60641489a73d3ce8c513ac58.webp
CANMAKE,Bogo Non-B Marshmallow Finish Powder,,฿450,/product/detail/bogo-non-b-marshmallow-finish-powder?product_id=8859429801178&sku_id=8859429801161,https://prodenbcdn.azureedge.net/products/8859429801161/main/320/612f08a8c7aa436afa220de5.webp
SRICHAND,Super Coverage Foundation Powder SPF35 PA++++,฿350,฿279,/product/detail/super-coverage-foundation-powder-spf35-pa----?product_id=8858696814218&sku_id=8858696814218,https://prodenbcdn.azureedge.net/products/8858696814218/main/320/61dbb1fb0df7fb0d694e23d0.webp
BOBBI BROWN,Sheer Finish Pressed Powder,"฿1,850","฿1,665",/product/detail/sheer-finish-pressed-powder?product_id=716170012575&sku_id=716170245669,https://prodenbcdn.azureedge.net/products/716170245669/main/320/606414624fc04f286563f4b9.webp
CANMAKE,BOGO Marshmallow Finish Powder,,฿450,/product/detail/bogo-marshmallow-finish-powder?product_id=8859429800980&sku_id=8859429800980,https://prodenbcdn.azureedge.net/products/8859429800980/main/320/602f3acb12b1f5403b369b06.webp
CANMAKE,Marshmallow Finish Powder,฿450,฿379,/product/detail/marshmallow-finish-powder?product_id=4901008308661&sku_id=4901008305318,https://prodenbcdn.azureedge.net/products/4901008305318/main/320/6131e4fd652ad854d531101b.webp
ETUDE,Secret Beam Powder Pact SPF36 PA+++,,฿490,/product/detail/secret-beam-powder-pact-spf36-pa---?product_id=8809667985826&sku_id=8809667985819,https://prodenbcdn.azureedge.net/products/8809667985819/main/320/6064276f7f3255d7d7233062.webp
BEAUTII BE,Ultimate Powder Plus Tanaka Spf 30 Pa++,฿99,฿69,/product/detail/ultimate-powder-plus-tanaka-spf-30-pa--?product_id=8852522223410&sku_id=8852522223410,https://prodenbcdn.azureedge.net/products/8852522223410/main/320/608a89fb2341745278548883.webp
4U2,I'm Skin Youth Mineral Powder,,฿199,/product/detail/i-m-skin-youth-mineral-powder?product_id=8859575102754&sku_id=8859575102754,https://prodenbcdn.azureedge.net/products/8859575102754/main/320/606441a883d2cc8248379e72.webp
CANMAKE,BOGO Marshmallow Finish Powder,,฿450,/product/detail/bogo-marshmallow-finish-powder?product_id=8859429800997&sku_id=8859429800997,https://prodenbcdn.azureedge.net/products/8859429800997/main/320/602f3ab812b1f50457369add.webp
LAURA MERCIER,Translucent Pressed Setting Powder,"฿1,790","฿1,611",/product/detail/translucent-pressed-setting-powder?product_id=736150163219&sku_id=736150163219,https://prodenbcdn.azureedge.net/products/736150163219/main/320/606415804fc04f91eb63f903.webp
L'OREAL,Infallible Oilkiller Lasting Powder,,฿199,/product/detail/infallible-oilkiller-lasting-powder?product_id=6902395811770&sku_id=6902395811695,https://prodenbcdn.azureedge.net/products/6902395811695/main/320/61b3760b02568766b2dd2c70.webp
MERREZ'CA,Excellent Covering Skin Perfecting Foundation SPF50+ PA+++,฿690,฿450,/product/detail/excellent-covering-skin-perfecting-foundation-spf50--pa---?product_id=8800142207051&sku_id=8800142190223,https://prodenbcdn.azureedge.net/products/8800142190223/main/320/611cc6e3a9dd0546ab0b25b3.webp
CANMAKE,Transparent Finish Powder,฿450,฿339,/product/detail/transparent-finish-powder?product_id=4901008311036&sku_id=4901008306872,https://prodenbcdn.azureedge.net/products/4901008306872/main/320/6131db775ed8e4b5eec5796a.webp
CANMAKE,BOGO Marshmallow Finish Powder,,฿450,/product/detail/bogo-marshmallow-finish-powder?product_id=8859429800973&sku_id=8859429800973,https://prodenbcdn.azureedge.net/products/8859429800973/main/320/602f3ada12b1f59782369b08.webp
CUTE PRESS,Evory Retouch Foundation Powder SPF 30 PA+++ (Redesign),฿359,฿287,/product/detail/evory-retouch-foundation-powder-spf-30-pa-----redesign-?product_id=8850080750997&sku_id=8850080751000,https://prodenbcdn.azureedge.net/products/8850080751000/main/320/60f6b25e96a77d3504f62a4c.webp
BK MASK,Shimmer Matt 3D Diamond Powder,,฿489,/product/detail/shimmer-matt-3d-diamond-powder?product_id=8859139600702&sku_id=8859139600702,https://prodenbcdn.azureedge.net/products/8859139600702/main/320/60b743cb1cdbd1155e9e6902.webp
CANMAKE,Secret Beauty Powder,฿350,฿279,/product/detail/secret-beauty-powder?product_id=4901008309446&sku_id=4901008309446,https://prodenbcdn.azureedge.net/products/4901008309446/main/320/60649c069581af4744443393.webp
CUTE PRESS,Evory Retouch Pore Minimizing & Oil Control Primer,฿299,฿239,/product/detail/evory-retouch-pore-minimizing---oil-control-primer?product_id=8850080750782&sku_id=8850080750782,https://prodenbcdn.azureedge.net/products/8850080750782/main/320/60c878d5960f09b6bf1aff73.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806509&sku_id=6902395806509,https://prodenbcdn.azureedge.net/products/6902395806509/main/320/61220d2fc710d07ad06a1be4.webp
MOONSHOT,Powder Fixer Special Edition SPF27 PA++,,฿189,/product/detail/powder-fixer-special-edition-spf27-pa--?product_id=8809636440394&sku_id=8809636440394,https://prodenbcdn.azureedge.net/products/8809636440394/main/320/60114933d3bc200e76a54166.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970130794&sku_id=309970130794,https://prodenbcdn.azureedge.net/products/309970130794/main/320/61207c038c69248a4cc96f9f.webp
BEAUTII BE,Hya Truly Matte Powder,,฿99,/product/detail/hya-truly-matte-powder?product_id=8852522226701&sku_id=8852522226701,https://prodenbcdn.azureedge.net/products/8852522226701/main/320/608a88092341740f5a54817b.webp
CUTE PRESS,Evory Snow Foundation Powder SPF 30 PA++ (Redesign),฿339,฿271,/product/detail/evory-snow-foundation-powder-spf-30-pa----redesign-?product_id=8850080751499&sku_id=8850080751512,https://prodenbcdn.azureedge.net/products/8850080751512/main/320/6120e4b2b348f932893d4550.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806448&sku_id=6902395806448,https://prodenbcdn.azureedge.net/products/6902395806448/main/320/612f5805282f47016028e10a.webp
CANMAKE,Marshmallow Finish Foundation,฿490,฿399,/product/detail/marshmallow-finish-foundation?product_id=4901008311371&sku_id=4901008311371,https://prodenbcdn.azureedge.net/products/4901008311371/main/320/6131e6ba0b179133c7f403b1.webp
ETUDE,Double Lasting Pact SPF21 PA++,,฿750,/product/detail/double-lasting-pact-spf21-pa--?product_id=8809667994910&sku_id=8809667994903,https://prodenbcdn.azureedge.net/products/8809667994903/main/320/6064278c83d2cc220037471e.webp
CANMAKE,Marshmallow Finish Powder (Refill),,฿350,/product/detail/marshmallow-finish-powder--refill-?product_id=4901008308876&sku_id=4901008306735,https://prodenbcdn.azureedge.net/products/4901008306735/main/320/60649e865c8b94be50209f63.webp
MADELYN,Wonder Powder Foundation Natural Light SPF 30 PA++++,฿399,฿349,/product/detail/wonder-powder-foundation-natural-light-spf-30-pa----?product_id=8859488910507&sku_id=8859488910507,https://prodenbcdn.azureedge.net/products/8859488910507/main/320/6126104c2e7af73e92ef9ee5.webp
MERREZ'CA,Excellent Coveing Skin Setting Pressed Powder SPF50 PA+++,฿790,฿420,/product/detail/excellent-coveing-skin-setting-pressed-powder-spf50-pa---?product_id=8800142195037&sku_id=8800142195037,https://prodenbcdn.azureedge.net/products/8800142195037/main/320/60090d00f1549d9d19865d29.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970130770&sku_id=309970130770,https://prodenbcdn.azureedge.net/products/309970130770/main/320/61398d6bb3ee2967408e70e9.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806479&sku_id=6902395806479,https://prodenbcdn.azureedge.net/products/6902395806479/main/320/60e40775062c7f183b6a3cdb.webp
PERIPERA,Oil Capture Cover Pact,฿430,฿379,/product/detail/oil-capture-cover-pact?product_id=8809691973257&sku_id=8809691973257,https://prodenbcdn.azureedge.net/products/8809691973257/main/320/603606d6c6665c4560b69f3f.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148591&sku_id=309970148591,https://prodenbcdn.azureedge.net/products/309970148591/main/320/611f585beb3e5adf457fa7a3.webp
CUTE PRESS,Evory Stellar Foundation Powder SPF 30 PA+++ (Redesign),฿399,฿319,/product/detail/evory-stellar-foundation-powder-spf-30-pa-----redesign-?product_id=8850080751390&sku_id=8850080751390,https://prodenbcdn.azureedge.net/products/8850080751390/main/320/60e3c830a98acb07e3f93b58.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806462&sku_id=6902395806462,https://prodenbcdn.azureedge.net/products/6902395806462/main/320/612f5976868ffa589c233f48.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148607&sku_id=309970148607,https://prodenbcdn.azureedge.net/products/309970148607/main/320/61398f6d9f6846a953c88516.webp
MOONSHOT,Powder Fixer Special Edition SPF27 PA++,,฿189,/product/detail/powder-fixer-special-edition-spf27-pa--?product_id=8809636440400&sku_id=8809636440400,https://prodenbcdn.azureedge.net/products/8809636440400/main/320/6011490baf0d19546fa32ba1.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806455&sku_id=6902395806455,https://prodenbcdn.azureedge.net/products/6902395806455/main/320/60e406e6a98acba572f9ca30.webp
MKUP,Advance Non Drying Oil Control Powder,฿529,฿199,/product/detail/advance-non-drying-oil-control-powder?product_id=4713037474305&sku_id=4713037474305,https://prodenbcdn.azureedge.net/products/4713037474305/main/320/6064101b4fc04f191663e3b0.webp
MAYBELLINE,Clear Smooth All In One Light Pressed Powder SPF20,,฿199,/product/detail/clear-smooth-all-in-one-light-pressed-powder-spf20?product_id=6923492584596&sku_id=6923492584619,https://prodenbcdn.azureedge.net/products/6923492584619/main/320/602cdd7609b273d7e137dedf.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970130763&sku_id=309970130763,https://prodenbcdn.azureedge.net/products/309970130763/main/320/611cee0a5d5aa03e3bdc49f2.webp
MAYBELLINE,New York Fit Me Matte + Poreless Powder Foundation SPF 44 PA++++ Ultmt TWC SPF,,฿279,/product/detail/new-york-fit-me-matte---poreless-powder-foundation-spf-44-pa-----ultmt-twc-spf?product_id=6902395806424&sku_id=6902395806424,https://prodenbcdn.azureedge.net/products/6902395806424/main/320/60e40629767e06f926a36433.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148652&sku_id=309970148652,https://prodenbcdn.azureedge.net/products/309970148652/main/320/611fb52d060fdcd847757a6c.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148621&sku_id=309970148621,https://prodenbcdn.azureedge.net/products/309970148621/main/320/613991117317da5cd50fe888.webp
CEZANNE,BOGO Bundle UV Silk Cover Powder,,฿390,/product/detail/bogo-bundle-uv-silk-cover-powder?product_id=8859429802182&sku_id=8859429802182,https://prodenbcdn.azureedge.net/products/8859429802182/main/320/6033479512b1f511253ad825.webp
PERIPERA,Oil Capture Pact,฿430,฿379,/product/detail/oil-capture-pact?product_id=8809598290280&sku_id=8809598290280,https://prodenbcdn.azureedge.net/products/8809598290280/main/320/60361e12c6665c9376b6be0c.webp
CEZANNE,BOGO Bundle UV Silk Cover Powder,,฿390,/product/detail/bogo-bundle-uv-silk-cover-powder?product_id=8859429802199&sku_id=8859429802199,https://prodenbcdn.azureedge.net/products/8859429802199/main/320/603347aac6665ce188b37297.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970135386&sku_id=309970135386,https://prodenbcdn.azureedge.net/products/309970135386/main/320/611cf1e16b54cc1775c36e15.webp
IN2IT,Perfect Cover Matte Two Way Powder SPF25 PA+++,฿159,฿143.10,/product/detail/perfect-cover-matte-two-way-powder-spf25-pa---?product_id=8858000024753&sku_id=8858000024500,https://prodenbcdn.azureedge.net/products/8858000024500/main/320/606432c283d2cc2974376444.webp
AURA ME,Perfect Cover SPF30PA+++,,฿690,/product/detail/perfect-cover-spf30pa---?product_id=8859577700019&sku_id=8859577700026,https://prodenbcdn.azureedge.net/products/8859577700026/main/320/601d1e2e73330648b2eb90c0.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148645&sku_id=309970148645,https://prodenbcdn.azureedge.net/products/309970148645/main/320/611cec97a9dd052aa60b5394.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970135393&sku_id=309970135393,https://prodenbcdn.azureedge.net/products/309970135393/main/320/613985719f68462fe5c876ca.webp
CEZANNE,UV Silk Cover Powder (Refill),,฿290,/product/detail/uv-silk-cover-powder--refill-?product_id=4939553041627&sku_id=4939553041610,https://prodenbcdn.azureedge.net/products/4939553041610/main/320/606410fa4fc04f0c2f63e7cd.webp
