brand_name,title,price,price_discount,link,images
SIVANNA,HF689-Natural And Delicate Beauty Powder,฿299,฿149,/product/detail/hf689-natural-and-delicate-beauty-powder?product_id=8858994408836&sku_id=8858994408836,https://prodenbcdn.azureedge.net/products/8858994408836/main/320/612843d8216048e9aa28182b.webp
IN2IT,Foundation Powder,"฿2,800","฿2,520",/product/detail/foundation-powder?product_id=8858000022971&sku_id=8858928606475,https://prodenbcdn.azureedge.net/products/8858928606475/thumbnail_640_100.png
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945883&sku_id=8852525945883,https://prodenbcdn.azureedge.net/products/8852525945883/main/320/60642c4683d2cc0eb5374aa5.webp
BOBBI BROWN,Monopoly Sheer Finish Pressed Powder,"฿1,850","฿1,665",/product/detail/monopoly-sheer-finish-pressed-powder?product_id=716170277776&sku_id=716170277776,https://prodenbcdn.azureedge.net/products/716170277776/main/320/61b957aecc0e8967141d2edd.webp
ZENN,Pressed Powder,฿349,฿245,/product/detail/pressed-powder?product_id=8857125257404&sku_id=8857125257381,https://prodenbcdn.azureedge.net/products/8857125257381/main/320/6064307583d2cc5ac8375bfc.webp
ESSENCE,My Skin Perfector Loose Fixing Powder,,฿195,/product/detail/my-skin-perfector-loose-fixing-powder?product_id=4059729255112&sku_id=4059729255112,https://prodenbcdn.azureedge.net/products/4059729255112/main/320/60d974c6b78d7c1511eed3ac.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945869&sku_id=8852525945869,https://prodenbcdn.azureedge.net/products/8852525945869/main/320/60642c457f3255594b23345f.webp
SHISEIDO,Synchro Skin Invisible Silk Pressed Powder,"฿1,500","฿1,350",/product/detail/synchro-skin-invisible-silk-pressed-powder?product_id=730852161290&sku_id=730852161290,https://prodenbcdn.azureedge.net/products/730852161290/main/320/611f7285993bf1728d67d812.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++,฿550,฿468,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa--?product_id=8852525945906&sku_id=8852525945906,https://prodenbcdn.azureedge.net/products/8852525945906/main/320/60642c477f32550ebc233466.webp
CANMAKE,Bogo Secret Beauty Powder,,฿350,/product/detail/bogo-secret-beauty-powder?product_id=8859429800706&sku_id=8859429800706,https://prodenbcdn.azureedge.net/products/8859429800706/main/320/612f07e3612849273690e6c8.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++ (Refill),,฿495,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa----refill-?product_id=8852525945920&sku_id=8852525945920,https://prodenbcdn.azureedge.net/products/8852525945920/main/320/60642c487f32551d64233467.webp
ODBO,Airy Two Way Power SPF30++,฿299,฿159,/product/detail/airy-two-way-power-spf30--?product_id=8858910626504&sku_id=8858910626504,https://prodenbcdn.azureedge.net/products/8858910626504/main/320/616d3c2b98694d44620a2ca8.webp
IN2IT,Face Poppin Blur Pressed Powder,฿179,฿161.10,/product/detail/face-poppin-blur-pressed-powder?product_id=8858000022452&sku_id=8858000022674,https://prodenbcdn.azureedge.net/products/8858000022674/main/320/611ca61f96306d3ad93ae4b1.webp
DR.SOMCHAI,Acne Blemish Pressed Powder,,฿259,/product/detail/acne-blemish-pressed-powder?product_id=8850710014406&sku_id=8850710014406,https://prodenbcdn.azureedge.net/products/8850710014406/main/320/60e3d151a98acb7bbdf95180.webp
SHEENE,Oil Free Cake Powder Spf 25 Pa++ (Refill+Refill),฿159,฿143,/product/detail/oil-free-cake-powder-spf-25-pa----refill-refill-?product_id=8852525961456&sku_id=8852525961456,https://prodenbcdn.azureedge.net/products/8852525961456/main/320/619cb53876e6026ae5c320c9.webp
IN2IT,Foundation Powder,"฿2,800","฿2,520",/product/detail/foundation-powder?product_id=8858000022964&sku_id=8858928606468,https://prodenbcdn.azureedge.net/products/8858928606468/thumbnail_640_100.png
MADELYN,Wonder Powder Foundation Natural Beige SPF 30 PA++++,฿399,฿349,/product/detail/wonder-powder-foundation-natural-beige-spf-30-pa----?product_id=8859488910606&sku_id=8859488910606,https://prodenbcdn.azureedge.net/products/8859488910606/main/320/6108bcd24c3ba94a1aea0238.webp
WET N WILD,Photo Focus Pressed Powder,,฿390,/product/detail/photo-focus-pressed-powder?product_id=4049775582256&sku_id=4049775582256,https://prodenbcdn.azureedge.net/products/4049775582256/main/320/611e3af44bc1ab3abf511f92.webp
CANMAKE,Bogo Marshmallow Free Refill,,฿450,/product/detail/bogo-marshmallow-free-refill?product_id=8859429800539&sku_id=8859429800539,https://prodenbcdn.azureedge.net/products/8859429800539/main/320/60f1e3a023304b1690beb255.webp
WET N WILD,Cover All Pressed Powder,,฿199,/product/detail/cover-all-pressed-powder?product_id=4049775582225&sku_id=4049775582225,https://prodenbcdn.azureedge.net/products/4049775582225/main/320/61209142f6306b2f611b19bd.webp
BSC,Lock It Fit Fix Perfecting Powder SPF30 PA++ (Refill),,฿495,/product/detail/lock-it-fit-fix-perfecting-powder-spf30-pa----refill-?product_id=8852525945968&sku_id=8852525945968,https://prodenbcdn.azureedge.net/products/8852525945968/main/320/60642c4b83d2cc1644374ab2.webp
SHEENE,Oil Free Extra Foundation Powder Spf 25 Pa++ (Std+Refill),฿295,฿266,/product/detail/oil-free-extra-foundation-powder-spf-25-pa----std-refill-?product_id=8852525974081&sku_id=8852525974081,https://prodenbcdn.azureedge.net/products/8852525974081/main/320/619cb74b9624153c249ccc14.webp
WET N WILD,Photo Focus Pressed Powder,,฿390,/product/detail/photo-focus-pressed-powder?product_id=4049775582157&sku_id=4049775582157,https://prodenbcdn.azureedge.net/products/4049775582157/main/320/61274cb6eb4ea8f32746bafd.webp
PIMRYPIE,Prim By Pimrypie Royal Jelly Manuka Honey Foudation Powder,,฿650,/product/detail/prim-by-pimrypie-royal-jelly-manuka-honey-foudation-powder?product_id=8859560100222&sku_id=8859560100222,https://prodenbcdn.azureedge.net/products/8859560100222/main/320/6226d76278230631df2c75f0.webp
WET N WILD,Cover All Pressed Powder,,฿199,/product/detail/cover-all-pressed-powder?product_id=4049775582324&sku_id=4049775582324,https://prodenbcdn.azureedge.net/products/4049775582324/main/320/611f698e14329270d83d4e43.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422079&sku_id=041065422079,https://prodenbcdn.azureedge.net/products/041065422079/main/320/60640b55a73d3c309b138785.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422031&sku_id=041065422031,https://prodenbcdn.azureedge.net/products/041065422031/main/320/60640b51a73d3c5e4b138783.webp
WET N WILD,Photo Focus Pressed Powder,,฿390,/product/detail/photo-focus-pressed-powder?product_id=4049775582331&sku_id=4049775582331,https://prodenbcdn.azureedge.net/products/4049775582331/main/320/6143012f9280218c4c683b10.webp
PIMRYPIE,Prim By Pimrypie Royal Jelly Manuka Honey Foudation,,฿650,/product/detail/prim-by-pimrypie-royal-jelly-manuka-honey-foudation?product_id=8859560100246&sku_id=8859560100246,https://prodenbcdn.azureedge.net/products/8859560100246/main/320/6226d7d17823062a762c8f54.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422062&sku_id=041065422062,https://prodenbcdn.azureedge.net/products/041065422062/main/320/60640b544fc04f3efa63d00d.webp
SOLA,Primer Pressed Powder Matte,,฿890,/product/detail/primer-pressed-powder-matte?product_id=8809435713859&sku_id=8809435713859,https://prodenbcdn.azureedge.net/products/8809435713859/thumbnail_640_100.png
MADELYN,Wonder Foundation Powder Natural  Honey Spf 30 pa++++,฿399,฿349,/product/detail/wonder-foundation-powder-natural--honey-spf-30-pa----?product_id=8859488910705&sku_id=8859488910705,https://prodenbcdn.azureedge.net/products/8859488910705/main/320/6108bd3a207e996b5134166e.webp
DR.SOMCHAI,Blemish Press Powder,,฿259,/product/detail/blemish-press-powder?product_id=8850710014420&sku_id=8850710014420,https://prodenbcdn.azureedge.net/products/8850710014420/main/320/61389351c883ca27e7bccaaf.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422048&sku_id=041065422048,https://prodenbcdn.azureedge.net/products/041065422048/main/320/6121e37d2602741e93b87407.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516044&sku_id=041065516044,https://prodenbcdn.azureedge.net/products/041065516044/main/320/6121ee50ba2c4b2723af6223.webp
ODBO,Airy Two Way Power SPF30++,฿299,฿159,/product/detail/airy-two-way-power-spf30--?product_id=8858910626498&sku_id=8858910626498,https://prodenbcdn.azureedge.net/products/8858910626498/main/320/616d3baa98694d782f0a2bc4.webp
WET N WILD,Photo Focus Pressed Powder,,฿390,/product/detail/photo-focus-pressed-powder?product_id=4049775582454&sku_id=4049775582454,https://prodenbcdn.azureedge.net/products/4049775582454/main/320/611e651ce7c27ff423a02392.webp
PIMRYPIE,Prim By Pimrypie Royal Jelly Manuka Honey Foudation Powder,,฿650,/product/detail/prim-by-pimrypie-royal-jelly-manuka-honey-foudation-powder?product_id=8859560100239&sku_id=8859560100239,https://prodenbcdn.azureedge.net/products/8859560100239/main/320/6226d7a57453a32ce303c25b.webp
ODBO,Airy Two Way Power SPF30++,฿299,฿159,/product/detail/airy-two-way-power-spf30--?product_id=8858910626481&sku_id=8858910626481,https://prodenbcdn.azureedge.net/products/8858910626481/main/320/616d3a9998694d1b3b0a2a63.webp
ESSENCE,Mattifying Compact Powder,,฿175,/product/detail/mattifying-compact-powder?product_id=4059729047830&sku_id=4059729047830,https://prodenbcdn.azureedge.net/products/4059729047830/main/320/613b0e1cc0ad4268be617a7b.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422123&sku_id=041065422123,https://prodenbcdn.azureedge.net/products/041065422123/main/320/60640b584fc04f142f63d014.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516020&sku_id=041065516020,https://prodenbcdn.azureedge.net/products/041065516020/main/320/61275888aab832110cc244c7.webp
SHEENE,Kumamon Cheerful Oil Free Perfection Matte Cake Powder SPF 35 PA+++,฿355,฿266,/product/detail/kumamon-cheerful-oil-free-perfection-matte-cake-powder-spf-35-pa---?product_id=8852525962910&sku_id=8852525962910,https://prodenbcdn.azureedge.net/products/8852525962910/main/320/611d27101dbdbd0d0abda803.webp
SUREEPORN,Matte Dee Powder SPF 35 PA++,,฿399,/product/detail/matte-dee-powder-spf-35-pa--?product_id=8852522230418&sku_id=8852522230418,https://prodenbcdn.azureedge.net/products/8852522230418/main/320/61a0a429f090df7fbf1aa36f.webp
SUREEPORN,Matte Dee Powder SPF 35 PA++,,฿399,/product/detail/matte-dee-powder-spf-35-pa--?product_id=8852522230425&sku_id=8852522230425,https://prodenbcdn.azureedge.net/products/8852522230425/main/320/61a0a4a0f090df0c601ab9db.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516013&sku_id=041065516013,https://prodenbcdn.azureedge.net/products/041065516013/main/320/61275962a7f7b538b04c415b.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422116&sku_id=041065422116,https://prodenbcdn.azureedge.net/products/041065422116/main/320/6121e29e48b35e2a7acd1341.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422055&sku_id=041065422055,https://prodenbcdn.azureedge.net/products/041065422055/main/320/6127604b26e92f17e1b2ae3f.webp
SHEENE,Kumamon Cheerful Oil Free Perfection Matte Cake Powder SPF 35 PA+++,฿355,฿266,/product/detail/kumamon-cheerful-oil-free-perfection-matte-cake-powder-spf-35-pa---?product_id=8852525962897&sku_id=8852525962897,https://prodenbcdn.azureedge.net/products/8852525962897/main/320/611d26d6add4a64b3cd7cbab.webp
SHEENE,Kumamon Cheerful Oil Free Perfection Matte Cake Powder SPF 35 PA+++,฿355,฿266,/product/detail/kumamon-cheerful-oil-free-perfection-matte-cake-powder-spf-35-pa---?product_id=8852525962934&sku_id=8852525962934,https://prodenbcdn.azureedge.net/products/8852525962934/main/320/611d273b42917380e3da11b8.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422109&sku_id=041065422109,https://prodenbcdn.azureedge.net/products/041065422109/main/320/6120fa82b348f972963d6432.webp
JORDANA,Forever Flawless Pressed Powder,฿590,฿359,/product/detail/forever-flawless-pressed-powder?product_id=041065422017&sku_id=041065422017,https://prodenbcdn.azureedge.net/products/041065422017/main/320/61276135aab8326b86c2546a.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516068&sku_id=041065516068,https://prodenbcdn.azureedge.net/products/041065516068/main/320/6120fccd4ee60a2fa81c8849.webp
MILLE,Charcoal Matte Cover Pact SPF 25 PA++,,฿599,/product/detail/charcoal-matte-cover-pact-spf-25-pa--?product_id=8859141307538&sku_id=8859141307538,https://prodenbcdn.azureedge.net/products/8859141307538/main/320/62418d29b588994c4c35e88e.webp
MEDISZA,Perfect Matte Illuminating Press Powder SPF30 PA+++,,฿390,/product/detail/perfect-matte-illuminating-press-powder-spf30-pa---?product_id=8859430300554&sku_id=8859430300554,https://prodenbcdn.azureedge.net/products/8859430300554/thumbnail_640_100.png
SUREEPORN,Matte Dee Powder SPF 35 PA++,,฿399,/product/detail/matte-dee-powder-spf-35-pa--?product_id=8852522230432&sku_id=8852522230432,https://prodenbcdn.azureedge.net/products/8852522230432/main/320/61a0a3cb2a1d591c00799161.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516051&sku_id=041065516051,https://prodenbcdn.azureedge.net/products/041065516051/main/320/6127557b9159703d1c0fde12.webp
JORDANA,Perfect Pressed Powder,฿695,฿529,/product/detail/perfect-pressed-powder?product_id=041065516105&sku_id=041065516105,https://prodenbcdn.azureedge.net/products/041065516105/thumbnail_640_100.png
SHEENE,Kumamon Cheerful Oil Free Perfection Matte Cake Powder SPF 35 PA+++,฿355,฿266,/product/detail/kumamon-cheerful-oil-free-perfection-matte-cake-powder-spf-35-pa---?product_id=8852525962958&sku_id=8852525962958,https://prodenbcdn.azureedge.net/products/8852525962958/main/320/611d2b8f0944ebf82394efab.webp
MEDISZA,Perfect Matte Illuminating Press Powder SPF30 PA+++,,฿390,/product/detail/perfect-matte-illuminating-press-powder-spf30-pa---?product_id=8859430300561&sku_id=8859430300561,https://prodenbcdn.azureedge.net/products/8859430300561/thumbnail_640_100.png